,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
66,,,,,,,,,,,,,,,,,,,,,Android/Dowgin,,,,,,,Android.Adware.Dowgin.I (B),,,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,,,,,,Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adware.AndroidOS.Youmi.Startapp (v),Android Airpush,,,,,,,,,,,,,,Adware/ANDR.StartApp.M.Gen,a variant of Android/AdDisplay.AirPush.J,,Adware.Android.AirPush.bJ,,,,Adware/AirPush!Android,,,,,,,,,,,,,,,
68,,,Adware.MultiAds!550A,,,,Android.Adware.MadHouseAds,AndroidOS/Coogos.C,,,,,,,,,Adware.Waps.2.origin,,,,Android/AirPush,,,TROJ_GEN.F47V0718,AndroidOS/Coogos.C,,,Android.Adware.Adwo.A (B),Adware.AndroidOS.AirPush.a (v),Android Adwo,Android.Adware.Adwo.A,,,,Android.Adware.Adwo.A,AndroidOS.AdWare.AdWo,ApplicUnwnt,Adware:Android/AdWo.A,,,,Android.Adware.Adwo.A,,Adware/ANDR.Adwo.A.Gen,a variant of Android/Adware.AirPush.G,,,Trojan.Waps.bxqwiw,,,Adware/AirPush!Android,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adware.AndroidOS.Youmi.Startapp (v),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,Android.Adware.Dowgin.I (B),,Android Dowgin,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,,Adware/ANDR.Kuguo.G.Gen,probably a variant of Android/Adware.Kuguo.D,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen:Variant.Symmi.38683 (B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,ANDROIDOS_KEDOU.A,,AndroidOS/Kuguo.A,,,,,,,,,Adware.Kuguo.2.origin,,,,Android/Generic,,,TROJ_GEN.F47V0822,AndroidOS/Kuguo.A,,,Android.Adware.Kuguo.A (B),Trojan.AndroidOS.Generic.A,Android Kuguo,Android.Adware.Kuguo.A,,Artemis!A0E071D1270C,,Android.Adware.Kuguo.A,AdWare.AndroidOS.AirPush,ApplicUnwnt,Android.Adware.Kuguo.A,,,Android.Adware.Kuguo.A,Android.Adware.Kuguo.A,Artemis!A0E071D1270C,Adware/ANDR.Kuguo.H.Gen,a variant of Android/Adware.Kuguo.B,,,,,,Adware/Kuguo!Android,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,WS.Reputation.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,Android.Adware.Dowgin.I (B),,,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,,,,,,Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AndroidOS.AdWare.Bankun,,Trojan-Downloader:Android/Boqx.G,,,,,,,a variant of Android/Secapk.A,,,,,,,,,,,,,,,,,,,,,
